,Media Source,Tweet,Date,Compound,Positive,Negative,Neutral,Dates
75,@BBC,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",Tue Sep 25 07:32:06 +0000 2018,0.6369,0.231,0.0,0.769,2018-09-25 07:32:06
74,@BBC,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",Tue Sep 25 08:02:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 08:02:07
73,@BBC,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",Tue Sep 25 08:30:00 +0000 2018,0.2263,0.213,0.0,0.787,2018-09-25 08:30:00
72,@BBC,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",Tue Sep 25 08:53:02 +0000 2018,0.4215,0.128,0.0,0.872,2018-09-25 08:53:02
71,@BBC,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",Tue Sep 25 10:03:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 10:03:02
70,@BBC,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",Tue Sep 25 10:39:01 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 10:39:01
69,@BBC,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",Tue Sep 25 11:03:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 11:03:05
68,@BBC,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,Tue Sep 25 12:32:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 12:32:05
67,@BBC,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",Tue Sep 25 13:05:02 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 13:05:02
66,@BBC,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",Tue Sep 25 14:00:23 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 14:00:23
65,@BBC,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",Tue Sep 25 15:02:02 +0000 2018,0.5267,0.226,0.089,0.685,2018-09-25 15:02:02
64,@BBC,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",Tue Sep 25 16:02:03 +0000 2018,0.6114,0.285,0.0,0.715,2018-09-25 16:02:03
63,@BBC,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",Tue Sep 25 16:32:49 +0000 2018,0.0,0.0,0.0,1.0,2018-09-25 16:32:49
62,@BBC,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",Tue Sep 25 19:03:06 +0000 2018,0.4019,0.137,0.0,0.863,2018-09-25 19:03:06
61,@BBC,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",Tue Sep 25 20:03:05 +0000 2018,0.296,0.145,0.0,0.855,2018-09-25 20:03:05
60,@BBC,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",Wed Sep 26 07:02:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 07:02:07
59,@BBC,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",Wed Sep 26 07:31:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 07:31:04
58,@BBC,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,Wed Sep 26 08:04:03 +0000 2018,0.4767,0.353,0.168,0.479,2018-09-26 08:04:03
57,@BBC,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",Wed Sep 26 09:04:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 09:04:04
56,@BBC,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,Wed Sep 26 09:53:51 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 09:53:51
55,@BBC,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",Wed Sep 26 10:04:04 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 10:04:04
54,@BBC,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,Wed Sep 26 10:46:44 +0000 2018,0.3182,0.126,0.0,0.874,2018-09-26 10:46:44
53,@BBC,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",Wed Sep 26 11:02:01 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 11:02:01
52,@BBC,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",Wed Sep 26 12:30:08 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 12:30:08
51,@BBC,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,Wed Sep 26 12:32:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 12:32:03
50,@BBC,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",Wed Sep 26 13:04:06 +0000 2018,-0.1027,0.181,0.229,0.59,2018-09-26 13:04:06
49,@BBC,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",Wed Sep 26 14:03:03 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 14:03:03
48,@BBC,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",Wed Sep 26 14:04:00 +0000 2018,-0.25,0.0,0.083,0.917,2018-09-26 14:04:00
47,@BBC,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",Wed Sep 26 15:03:05 +0000 2018,0.659,0.403,0.0,0.597,2018-09-26 15:03:05
46,@BBC,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",Wed Sep 26 16:02:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 16:02:05
45,@BBC,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",Wed Sep 26 19:07:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 19:07:05
44,@BBC,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,Wed Sep 26 20:03:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-26 20:03:06
43,@BBC,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",Thu Sep 27 07:04:02 +0000 2018,0.5551,0.339,0.0,0.661,2018-09-27 07:04:02
42,@BBC,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",Thu Sep 27 07:32:04 +0000 2018,0.5411,0.162,0.0,0.838,2018-09-27 07:32:04
41,@BBC,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",Thu Sep 27 08:04:04 +0000 2018,0.7964,0.265,0.056,0.678,2018-09-27 08:04:04
40,@BBC,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",Thu Sep 27 09:04:05 +0000 2018,0.8697,0.38,0.0,0.62,2018-09-27 09:04:05
39,@BBC,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",Thu Sep 27 10:02:02 +0000 2018,-0.4753,0.0,0.154,0.846,2018-09-27 10:02:02
38,@BBC,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",Thu Sep 27 10:44:32 +0000 2018,0.0,0.0,0.0,1.0,2018-09-27 10:44:32
37,@BBC,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",Thu Sep 27 11:03:03 +0000 2018,-0.7579,0.0,0.351,0.649,2018-09-27 11:03:03
36,@BBC,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",Thu Sep 27 12:32:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-27 12:32:06
35,@BBC,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",Thu Sep 27 13:03:06 +0000 2018,-0.4019,0.225,0.299,0.476,2018-09-27 13:03:06
34,@BBC,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,Thu Sep 27 13:10:27 +0000 2018,0.0,0.0,0.0,1.0,2018-09-27 13:10:27
33,@BBC,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",Thu Sep 27 13:46:00 +0000 2018,0.4939,0.122,0.0,0.878,2018-09-27 13:46:00
32,@BBC,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",Thu Sep 27 14:03:05 +0000 2018,-0.4201,0.0,0.117,0.883,2018-09-27 14:03:05
31,@BBC,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",Thu Sep 27 15:06:35 +0000 2018,0.5719,0.171,0.0,0.829,2018-09-27 15:06:35
30,@BBC,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",Thu Sep 27 15:31:07 +0000 2018,-0.5574,0.0,0.194,0.806,2018-09-27 15:31:07
29,@BBC,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,Thu Sep 27 16:03:09 +0000 2018,-0.128,0.0,0.067,0.933,2018-09-27 16:03:09
28,@BBC,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",Thu Sep 27 17:02:07 +0000 2018,0.2263,0.155,0.089,0.756,2018-09-27 17:02:07
27,@BBC,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl",Fri Sep 28 07:01:05 +0000 2018,0.6808,0.272,0.0,0.728,2018-09-28 07:01:05
26,@BBC,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"".… https://t.co/i16FsfwKNb",Fri Sep 28 07:32:06 +0000 2018,0.3818,0.133,0.0,0.867,2018-09-28 07:32:06
25,@BBC,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp",Fri Sep 28 08:04:02 +0000 2018,0.5859,0.167,0.0,0.833,2018-09-28 08:04:02
24,@BBC,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ",Fri Sep 28 09:04:01 +0000 2018,-0.5994,0.0,0.262,0.738,2018-09-28 09:04:01
23,@BBC,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…",Fri Sep 28 09:40:18 +0000 2018,0.5719,0.171,0.0,0.829,2018-09-28 09:40:18
22,@BBC,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj",Fri Sep 28 10:02:06 +0000 2018,-0.296,0.0,0.121,0.879,2018-09-28 10:02:06
21,@BBC,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…",Fri Sep 28 10:24:29 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 10:24:29
20,@BBC,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂… https://t.co/8iFXGQhKlz",Fri Sep 28 11:04:06 +0000 2018,0.6597,0.227,0.082,0.691,2018-09-28 11:04:06
19,@BBC,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE",Fri Sep 28 12:33:00 +0000 2018,-0.5346,0.177,0.345,0.478,2018-09-28 12:33:00
18,@BBC,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX,Fri Sep 28 14:03:07 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 14:03:07
17,@BBC,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX",Fri Sep 28 15:01:02 +0000 2018,0.1531,0.118,0.0,0.882,2018-09-28 15:01:02
16,@BBC,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",Fri Sep 28 16:03:07 +0000 2018,0.7003,0.345,0.0,0.655,2018-09-28 16:03:07
15,@BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",Fri Sep 28 18:32:03 +0000 2018,-0.126,0.065,0.089,0.846,2018-09-28 18:32:03
199,@CBSNews,JUST IN: Sen. Lisa Murkowski backs Sen. Jeff Flake in delay for full Senate vote on Supreme Court nominee Brett Kav… https://t.co/wa20NOIsVm,Fri Sep 28 18:50:59 +0000 2018,0.2732,0.138,0.134,0.728,2018-09-28 18:50:59
198,@CBSNews,"WATCH: Powerful tsunami sweeps through Palu, Indonesia as people run away, screaming in fear https://t.co/CpvrxrYj4T https://t.co/2TdlthLFVF",Fri Sep 28 18:59:18 +0000 2018,-0.4588,0.13,0.269,0.602,2018-09-28 18:59:18
197,@CBSNews,"""When someone explains it to Trump,"" Dem strategist @paynedc says on CBSN, ""and says, 'Yeah, so the FBI, you know t… https://t.co/PdGJvWWBTE",Fri Sep 28 19:12:17 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 19:12:17
196,@CBSNews,"A military plane has crashed in coastal South Carolina – the first crash of an F-35, the U.S. military's newest and… https://t.co/QLh7W30LgC",Fri Sep 28 19:19:49 +0000 2018,-0.4019,0.0,0.124,0.876,2018-09-28 19:19:49
195,@CBSNews,VIDEO: Seal slaps kayaker in the face with octopus. https://t.co/zY3lmJZ46x https://t.co/LD0UxaOFPe,Fri Sep 28 19:59:58 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 19:59:58
194,@CBSNews,"""When someone explains it to Trump,"" Democratic strategist @paynedc says, ""and says, 'Yeah, so the FBI, you know th… https://t.co/5HMfcrMxQ5",Fri Sep 28 20:08:50 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 20:08:50
14,@BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",Fri Sep 28 20:31:03 +0000 2018,0.3595,0.135,0.0,0.865,2018-09-28 20:31:03
193,@CBSNews,"BREAKING: Mark Judge say's he'll cooperate with any law enforcement agency tasked with ""confidentially"" investigati… https://t.co/Xr7WC7RFjX",Fri Sep 28 20:37:52 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 20:37:52
192,@CBSNews,Lost baby koala cuddles with golden retriever to stay warm https://t.co/opKq7QMpH6 https://t.co/5YjsXTKLVq,Fri Sep 28 21:00:52 +0000 2018,-0.1027,0.134,0.162,0.704,2018-09-28 21:00:52
191,@CBSNews,JUST IN: President Trump has ordered the FBI to conduct a supplemental investigation to update Judge Kavanaugh’s fi… https://t.co/LxrNNwAVDA,Fri Sep 28 21:06:08 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 21:06:08
499,@nytimes,Scientists had long assumed that few creatures dined on jellyfish. But new research suggests that jellyfish may be… https://t.co/CoalBIE4n9,Fri Sep 28 21:10:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 21:10:05
190,@CBSNews,Jesuit order's America magazine urges withdrawal of Kavanaugh nomination https://t.co/7YlKgGDXht https://t.co/ZV8cwEzNxC,Fri Sep 28 21:24:33 +0000 2018,0.0258,0.099,0.0,0.901,2018-09-28 21:24:33
189,@CBSNews,WATCH: Sen. Cornyn addresses Kavanaugh probe after confirmation vote was delayed while the FBI investigates… https://t.co/plzKBkYi2W,Fri Sep 28 21:30:41 +0000 2018,-0.2263,0.0,0.112,0.888,2018-09-28 21:30:41
498,@nytimes,"A recent flash point in the New York governor's race is not the economy, the city's subways or the $160 billion sta… https://t.co/yaGgy9Vn7u",Fri Sep 28 21:30:46 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 21:30:46
497,@nytimes,Prosecutors will seek the death penalty for the suspect in the 2017 Manhattan truck attack. President Trump’s tweet… https://t.co/h4gUKa4Mpw,Fri Sep 28 21:32:03 +0000 2018,-0.9042,0.0,0.449,0.551,2018-09-28 21:32:03
188,@CBSNews,"U.S. slipping further behind other nations in backing education, health care https://t.co/EeQQ39Jn3u https://t.co/EVpEt6x8j3",Fri Sep 28 21:44:41 +0000 2018,0.5106,0.281,0.0,0.719,2018-09-28 21:44:41
496,@nytimes,"RT @nytimesphoto: In 1958, nearly 60 jazz giants gathered in Harlem for one immortal snapshot https://t.co/qEppdMiFQe https://t.co/oJAYtSTG…",Fri Sep 28 21:47:04 +0000 2018,0.25,0.111,0.0,0.889,2018-09-28 21:47:04
495,@nytimes,Facebook said that attackers exploited a weakness that enabled them to hijack the accounts of nearly 50 million use… https://t.co/5EKNmz6KWF,Fri Sep 28 22:02:06 +0000 2018,-0.8591,0.0,0.373,0.627,2018-09-28 22:02:06
494,@nytimes,"Mark Judge, who has been named by 2 women as being a key witness to sexual misconduct by Brett Kavanaugh, said that… https://t.co/bhVh7UQoaN",Fri Sep 28 22:17:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:17:05
187,@CBSNews,"President Trump orders FBI to conduct ""supplemental investigation"" into Kavanaugh allegations. Follow here for live… https://t.co/KsfP79TGDH",Fri Sep 28 22:24:49 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:24:49
493,@nytimes,"The DeSantis campaign did not deny being behind the text messages, which appeared to target voters with Jewish last… https://t.co/6tKxB1FMfG",Fri Sep 28 22:32:02 +0000 2018,0.2584,0.097,0.0,0.903,2018-09-28 22:32:02
186,@CBSNews,"RT @CBSEveningNews: The ball was in Jeff Flake's court. 

The retiring AZ Republican pivoted, hours after announcing he would vote to confi…",Fri Sep 28 22:39:37 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:39:37
185,@CBSNews,"Two GoFundMe campaigns for Christine Blasey Ford raise over $700,000 combined https://t.co/Dr9Q9Ecqtw https://t.co/6OhA6qKA7P",Fri Sep 28 22:44:53 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:44:53
492,@nytimes,"RT @MikeIsaac: one last nugget, which will go in our final story once updated later today: 

Mark Zuckerberg and Sheryl Sandberg's Facebook…",Fri Sep 28 22:47:05 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:47:05
184,@CBSNews,"RT @CBSEveningNews: Pres. Trump has ""ordered the FBI to conduct a supplemental investigation to update Judge Kavanaugh’s file,” the White H…",Fri Sep 28 22:50:19 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 22:50:19
491,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/MuyyIkGSdj,Fri Sep 28 23:02:06 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 23:02:06
183,@CBSNews,"TSUNAMI: Powerful wave sweeps through Palu, Indonesia as people flee screaming https://t.co/nJVbqPmfsw https://t.co/mW4qhK9n3X",Fri Sep 28 23:05:14 +0000 2018,0.0516,0.171,0.159,0.671,2018-09-28 23:05:14
490,@nytimes,"RT @dagnysalas: Your one stop for @nytimes links on Brett Kavanaugh, Christine Blasey Ford, the other accusations, the fallout, what's next…",Fri Sep 28 23:17:05 +0000 2018,-0.5423,0.0,0.191,0.809,2018-09-28 23:17:05
182,@CBSNews,"Brett Kavanaugh says he will ""continue to cooperate"" as FBI probe ordered https://t.co/bA5VcKATRY https://t.co/deVxh9uIiS",Fri Sep 28 23:24:41 +0000 2018,0.0,0.0,0.0,1.0,2018-09-28 23:24:41
489,@nytimes,Scraps of a former NFL lineman’s diary found after his death offer a painful glimpse of a football player losing hi… https://t.co/0esK6SNmHS,Fri Sep 28 23:32:05 +0000 2018,-0.8555,0.0,0.37,0.63,2018-09-28 23:32:05
181,@CBSNews,"Ariana Grande dropped out of ""SNL"" appearance for ""emotional reasons"" https://t.co/tGHthhwm5f https://t.co/mbPQAksvaH",Fri Sep 28 23:44:33 +0000 2018,0.1531,0.127,0.0,0.873,2018-09-28 23:44:33
